,id,pid,ms_subclass,lot_frontage,lot_area,lot_shape,utilities,lot_config,land_slope,neighborhood,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,heating_qc,electrical,1st_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,screen_porch,mo_sold,sale_type,saleprice
10,1044,527451290,bin_09,21.0,1680,Reg,AllPub,Inside,Gtl,BrDale,Twnhs,2Story,6,5,1971,1971,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,TA,SBrkr,483,987,0.0,1.0,1.0,2.0,1.0,TA,4,Typ,0.0,0,Detchd,1971.0,Unf,264.0,TA,TA,Y,0.0,0.0,0.0,0.0,7,COD,85400
11,2752,906380150,bin_01,64.0,7488,IR1,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2005,2005,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,Ex,SBrkr,1208,1208,0.0,2.0,0.0,2.0,1.0,Gd,6,Typ,0.0,0,Attchd,2005.0,RFn,632.0,TA,TA,Y,105.0,58.0,0.0,0.0,2,WD ,183600
12,807,906226060,bin_04,120.0,26400,Reg,AllPub,FR2,Gtl,SawyerW,1Fam,2Story,5,7,1880,2007,None,0.0,Gd,TA,PConc,0,0,0,0,0.0,0,0.0,0.0,Ex,SBrkr,1288,2016,0.0,1.0,0.0,4.0,1.0,TA,7,Mod,1.0,TA,Attchd,1900.0,Unf,576.0,TA,TA,P,0.0,0.0,0.0,0.0,6,WD ,131000
13,1177,533236070,bin_09,24.0,2645,Reg,AllPub,Inside,Gtl,Somerst,Twnhs,2Story,8,5,1999,2000,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,Ex,SBrkr,962,1607,1.0,2.0,1.0,3.0,1.0,Gd,7,Typ,0.0,0,Detchd,2000.0,Unf,480.0,TA,TA,Y,169.0,0.0,0.0,0.0,12,ConLD,200000
14,1480,907418040,bin_01,74.0,9627,Reg,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2007,2007,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,Ex,SBrkr,1361,1361,0.0,2.0,0.0,3.0,1.0,Gd,6,Typ,0.0,0,Attchd,2007.0,RFn,610.0,TA,TA,Y,0.0,50.0,0.0,0.0,6,WD ,193000
15,324,923202105,bin_01,93.0,10114,Reg,AllPub,Inside,Gtl,Mitchel,1Fam,1Story,5,5,2004,2005,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,Ex,SBrkr,1430,1430,0.0,2.0,0.0,3.0,1.0,Gd,7,Typ,0.0,0,Attchd,2004.0,RFn,624.0,TA,TA,Y,0.0,0.0,0.0,0.0,3,WD ,173500
16,1311,902301140,bin_04,34.0,4571,Reg,AllPub,Inside,Gtl,OldTown,1Fam,2Story,5,5,1916,1950,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,Fa,SBrkr,624,1344,0.0,1.0,0.0,4.0,1.0,TA,7,Typ,0.0,0,Detchd,1916.0,Unf,513.0,Fa,Fa,Y,0.0,0.0,96.0,0.0,5,COD,98000
17,770,905101490,bin_01,80.0,8816,Reg,AllPub,Corner,Gtl,Sawyer,1Fam,1Story,5,6,1963,1963,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,TA,SBrkr,1121,1121,1.0,1.0,0.0,3.0,1.0,TA,5,Typ,0.0,0,Detchd,1963.0,Unf,480.0,TA,TA,Y,0.0,80.0,0.0,0.0,6,WD ,139000
18,2063,905107140,bin_01,71.0,8197,Reg,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,6,5,1977,1977,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,Ex,SBrkr,1285,1285,0.0,1.0,1.0,3.0,1.0,TA,7,Typ,1.0,TA,Attchd,1977.0,RFn,528.0,TA,TA,Y,138.0,0.0,0.0,0.0,4,WD ,143500
19,69,528458070,bin_03,72.0,8640,Reg,AllPub,Inside,Gtl,Somerst,1Fam,2Story,7,5,2009,2009,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,Ex,SBrkr,764,1547,0.0,2.0,1.0,3.0,1.0,Gd,7,Typ,0.0,0,Attchd,2009.0,Unf,614.0,TA,TA,Y,169.0,45.0,0.0,0.0,6,Con,215200
20,2062,905106150,bin_01,109.0,8724,Reg,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5,5,1968,1968,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,402.0,Gd,SBrkr,894,894,0.0,1.0,0.0,3.0,1.0,TA,5,Typ,1.0,Po,Attchd,1968.0,Fin,450.0,TA,TA,Y,0.0,0.0,0.0,0.0,5,WD ,129000
21,351,527131030,bin_07,40.0,5664,IR1,AllPub,Inside,Gtl,StoneBr,TwnhsE,1Story,8,5,2000,2000,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,Ex,SBrkr,1659,1659,1.0,2.0,0.0,2.0,1.0,Ex,5,Typ,1.0,Ex,Attchd,2000.0,Fin,499.0,TA,TA,Y,212.0,59.0,0.0,0.0,10,WD ,278000
22,2393,528142010,bin_03,103.0,12867,IR1,AllPub,Corner,Gtl,NridgHt,1Fam,2Story,8,5,2005,2006,0,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1209.0,Ex,SBrkr,1209,2253,0.0,2.0,1.0,3.0,1.0,Ex,8,Typ,1.0,Gd,Attchd,2005.0,Fin,575.0,TA,TA,Y,243.0,142.0,0.0,0.0,7,New,344133
23,12,527165230,bin_01,0.0,7980,IR1,AllPub,Inside,Gtl,Gilbert,1Fam,1Story,6,7,1992,2007,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,Ex,SBrkr,1187,1187,1.0,2.0,0.0,3.0,1.0,TA,6,Typ,0.0,0,Attchd,1992.0,Fin,420.0,TA,TA,Y,483.0,21.0,0.0,0.0,3,WD ,185000
24,2339,527250040,bin_08,100.0,34650,Reg,AllPub,Inside,Gtl,Gilbert,2fmCon,1Story,5,5,1955,1955,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,0.0,TA,SBrkr,1056,1056,1.0,1.0,0.0,3.0,1.0,TA,5,Typ,0.0,0,Attchd,1955.0,Fin,572.0,TA,TA,Y,264.0,0.0,0.0,0.0,1,WD ,145000
25,624,535104120,bin_01,92.0,10573,IR1,AllPub,Corner,Gtl,NAmes,1Fam,1Story,6,6,1961,1961,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,141.0,Ex,SBrkr,1453,1453,1.0,2.0,0.0,3.0,1.0,TA,6,Typ,1.0,TA,Attchd,1961.0,RFn,530.0,TA,TA,Y,0.0,49.0,0.0,288.0,4,WD ,187500
26,86,532376160,bin_01,65.0,8450,Reg,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5,8,1965,2009,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,224.0,Ex,SBrkr,894,894,1.0,1.0,0.0,3.0,1.0,TA,5,Typ,1.0,Gd,Detchd,1973.0,Unf,336.0,TA,TA,Y,416.0,144.0,0.0,0.0,4,WD ,138500
27,1534,909277040,bin_06,0.0,11700,IR1,AllPub,Inside,Mod,Crawfor,1Fam,1.5Fin,5,6,1937,1995,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,336.0,Ex,SBrkr,1265,1938,0.0,2.0,0.0,4.0,1.0,Gd,7,Min2,1.0,Gd,Detchd,1937.0,Unf,240.0,TA,TA,Y,0.0,40.0,0.0,0.0,7,WD ,198000
28,2243,911103060,bin_08,75.0,8250,Reg,AllPub,Inside,Gtl,IDOTRR,2fmCon,2Story,5,6,1895,2006,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,957.0,Fa,SBrkr,1034,1991,0.0,2.0,0.0,4.0,2.0,TA,9,Typ,0.0,0,0,0.0,0,0.0,0,0,N,0.0,0.0,133.0,0.0,6,WD ,119600
29,1957,535450190,bin_06,60.0,8064,Reg,AllPub,Corner,Gtl,NAmes,1Fam,1.5Fin,5,7,1949,2006,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,Ex,SBrkr,672,924,0.0,1.0,0.0,3.0,1.0,TA,6,Typ,1.0,Po,Detchd,2003.0,Unf,576.0,TA,TA,Y,0.0,0.0,0.0,0.0,7,WD ,122900
30,380,527355150,bin_01,80.0,9600,Reg,AllPub,Inside,Gtl,NWAmes,1Fam,1Story,8,5,1981,1981,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,1420.0,TA,SBrkr,2524,2524,1.0,2.0,1.0,4.0,1.0,Gd,9,Typ,1.0,Gd,Attchd,1981.0,Fin,542.0,TA,TA,Y,474.0,120.0,0.0,0.0,7,WD ,278000
31,2860,909276010,bin_04,0.0,11435,IR1,AllPub,Corner,Mod,Crawfor,1Fam,2Story,8,7,1929,1950,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,Fa,SBrkr,792,1517,0.0,1.0,0.0,3.0,1.0,Gd,7,Typ,2.0,Gd,Detchd,1931.0,Unf,400.0,TA,TA,Y,0.0,0.0,0.0,0.0,6,WD ,230000
32,2517,533250130,bin_07,30.0,9549,IR1,AllPub,CulDSac,Gtl,Veenker,TwnhsE,1Story,8,5,1995,1996,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1057.0,0.0,Ex,SBrkr,1494,1494,1.0,1.0,1.0,2.0,1.0,Ex,6,Typ,1.0,Gd,Attchd,1995.0,Fin,481.0,TA,TA,Y,0.0,30.0,0.0,216.0,4,WD ,270000
33,1933,535302070,bin_01,60.0,10950,Reg,AllPub,Inside,Gtl,NAmes,1Fam,1Story,6,6,1952,1952,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,0.0,507.0,TA,SBrkr,948,948,0.0,1.0,0.0,2.0,1.0,TA,5,Typ,0.0,0,Detchd,1952.0,Unf,410.0,TA,TA,N,0.0,48.0,0.0,0.0,4,WD ,125000
34,820,906340110,bin_01,79.0,10637,Reg,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,8,5,2007,2008,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,0.0,417.0,Ex,SBrkr,1718,1718,1.0,2.0,0.0,3.0,1.0,Gd,7,Typ,1.0,Gd,Attchd,2007.0,RFn,826.0,TA,TA,Y,208.0,44.0,0.0,0.0,9,WD ,297000
35,675,535426150,bin_01,80.0,9000,IR1,AllPub,Inside,Mod,NAmes,1Fam,1Story,6,6,1958,1958,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,0.0,160.0,Fa,SBrkr,1142,1142,0.0,1.0,0.0,2.0,1.0,TA,5,Typ,1.0,Gd,Basment,1958.0,RFn,384.0,TA,TA,Y,0.0,28.0,64.0,0.0,4,WD ,113500
36,2910,923225240,bin_09,41.0,2665,Reg,AllPub,Inside,Gtl,MeadowV,TwnhsE,2Story,5,6,1977,1977,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,548.0,Rec,173.0,36.0,Ex,SBrkr,925,1475,0.0,2.0,0.0,4.0,1.0,TA,6,Typ,1.0,TA,Attchd,1977.0,RFn,336.0,TA,TA,Y,104.0,26.0,0.0,0.0,7,WD ,127000
37,21,527358140,bin_01,105.0,11751,IR1,AllPub,Inside,Gtl,NWAmes,1Fam,1Story,6,6,1977,1977,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,Ex,SBrkr,1844,1844,0.0,2.0,0.0,3.0,1.0,TA,7,Typ,1.0,TA,Attchd,1977.0,RFn,546.0,TA,TA,Y,0.0,122.0,0.0,0.0,1,COD,190000
38,1873,534177210,bin_01,80.0,9600,Reg,AllPub,Inside,Gtl,NWAmes,1Fam,1Story,7,6,1973,1973,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,0.0,326.0,Fa,SBrkr,1242,1242,0.0,1.0,1.0,3.0,1.0,TA,6,Typ,1.0,TA,Attchd,1973.0,Unf,528.0,TA,TA,Y,0.0,0.0,0.0,0.0,9,WD ,175500
39,2125,907135050,bin_01,60.0,8428,IR2,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,5,7,1994,1994,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,Unf,0.0,570.0,Ex,SBrkr,990,990,1.0,1.0,0.0,3.0,1.0,TA,5,Typ,0.0,0,Detchd,1995.0,Unf,384.0,TA,TA,Y,256.0,0.0,0.0,0.0,7,WD ,146000
40,1489,908102260,bin_01,75.0,9937,Reg,AllPub,Inside,Gtl,Edwards,1Fam,1Story,5,6,1965,1965,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,LwQ,290.0,136.0,Gd,SBrkr,1256,1256,1.0,1.0,1.0,3.0,1.0,TA,6,Typ,0.0,0,Attchd,1965.0,Fin,276.0,TA,TA,Y,736.0,68.0,0.0,0.0,6,WD ,147500
41,2383,528110050,bin_01,107.0,13891,Reg,AllPub,Inside,Gtl,NridgHt,1Fam,1Story,10,5,2006,2006,0,0.0,Ex,TA,PConc,Ex,Gd,Gd,GLQ,1386.0,Unf,0.0,690.0,Ex,SBrkr,2076,2076,1.0,2.0,1.0,2.0,1.0,Ex,7,Typ,1.0,Gd,Attchd,2006.0,Fin,850.0,TA,TA,Y,216.0,229.0,0.0,0.0,9,New,465000
42,983,923275040,bin_05,0.0,9101,IR1,AllPub,Corner,Gtl,Mitchel,1Fam,SFoyer,5,6,1978,1978,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,Unf,0.0,0.0,Ex,SBrkr,1110,1110,1.0,1.0,0.0,1.0,1.0,Gd,4,Typ,1.0,TA,Attchd,1978.0,Fin,602.0,TA,TA,Y,303.0,30.0,0.0,0.0,7,WD ,165500
43,1325,902406090,bin_06,81.0,12150,Reg,AllPub,Inside,Gtl,OldTown,1Fam,1.5Fin,5,5,1954,1954,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1050.0,Ex,FuseF,1050,1795,0.0,2.0,0.0,4.0,1.0,TA,7,Typ,0.0,0,Attchd,1954.0,Unf,352.0,Fa,TA,Y,0.0,0.0,0.0,0.0,11,WD ,131500
44,1378,905102170,bin_01,70.0,11200,Reg,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5,5,1965,1965,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134.0,Ex,SBrkr,1040,1040,1.0,1.0,0.0,3.0,1.0,TA,5,Typ,0.0,0,Detchd,1965.0,Unf,384.0,TA,TA,Y,0.0,0.0,0.0,0.0,2,WD ,129500
45,1537,909281110,bin_04,100.0,9670,IR1,AllPub,Inside,Mod,Crawfor,1Fam,2Story,8,6,1935,1950,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,210.0,Unf,0.0,398.0,TA,SBrkr,983,1873,0.0,1.0,1.0,4.0,1.0,TA,9,Typ,2.0,Gd,Detchd,1935.0,Fin,786.0,Fa,TA,Y,0.0,0.0,207.0,0.0,6,WD ,257076
46,905,909101140,bin_06,60.0,10998,Reg,AllPub,Inside,Gtl,Edwards,1Fam,1.5Fin,5,5,1941,1960,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,408.0,BLQ,420.0,156.0,Ex,SBrkr,984,1604,0.0,2.0,0.0,3.0,1.0,TA,6,Min2,0.0,0,Detchd,1977.0,Unf,660.0,TA,TA,Y,0.0,68.0,0.0,0.0,7,WD ,117000
47,1532,909275050,bin_04,60.0,7200,Reg,AllPub,Inside,Mod,Crawfor,1Fam,2Story,7,6,1931,2000,None,0.0,TA,Fa,BrkTil,Gd,TA,No,Unf,0.0,Unf,0.0,776.0,TA,SBrkr,851,1502,0.0,1.0,1.0,3.0,1.0,TA,6,Typ,1.0,Gd,Attchd,1931.0,RFn,270.0,TA,TA,P,0.0,0.0,112.0,0.0,2,WD ,149000
48,132,534475100,bin_01,80.0,9920,Reg,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,5,1954,1954,Stone,110.0,TA,TA,CBlock,TA,TA,No,Rec,354.0,LwQ,290.0,412.0,TA,SBrkr,1063,1063,1.0,1.0,0.0,3.0,1.0,TA,6,Typ,0.0,0,Attchd,1954.0,RFn,280.0,TA,TA,Y,0.0,0.0,164.0,0.0,2,WD ,128000
49,1078,528188090,bin_09,36.0,2448,Reg,AllPub,Inside,Gtl,NridgHt,Twnhs,2Story,7,5,2003,2004,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,764.0,Ex,SBrkr,764,1626,0.0,2.0,1.0,2.0,1.0,Gd,6,Typ,0.0,0,BuiltIn,2003.0,RFn,474.0,TA,TA,Y,0.0,27.0,0.0,0.0,10,WD ,155000
50,2511,533221080,bin_09,0.0,2998,Reg,AllPub,Inside,Gtl,Somerst,TwnhsE,2Story,6,5,2000,2000,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,GLQ,353.0,Unf,0.0,403.0,Ex,SBrkr,768,1524,0.0,2.0,1.0,2.0,1.0,Gd,4,Typ,0.0,0,Detchd,2000.0,Unf,440.0,TA,TA,Y,0.0,32.0,0.0,0.0,6,WD ,166000
51,912,909250220,bin_06,65.0,7804,Reg,AllPub,Inside,Gtl,SWISU,1Fam,1.5Fin,4,3,1928,1950,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,622.0,Unf,0.0,500.0,TA,SBrkr,1328,1981,1.0,2.0,0.0,4.0,1.0,Gd,7,Min2,2.0,TA,Detchd,1981.0,Unf,576.0,TA,TA,Y,431.0,44.0,0.0,0.0,12,WD ,135000
52,2351,527356020,bin_03,80.0,16692,IR1,AllPub,Inside,Gtl,NWAmes,1Fam,2Story,7,5,1978,1978,BrkFace,184.0,TA,TA,CBlock,Gd,TA,No,BLQ,790.0,LwQ,469.0,133.0,TA,SBrkr,1392,2784,1.0,3.0,1.0,5.0,1.0,Gd,12,Typ,2.0,TA,Attchd,1978.0,RFn,564.0,TA,TA,Y,0.0,112.0,0.0,440.0,7,WD ,250000
53,330,923226250,bin_09,21.0,1476,Reg,AllPub,Inside,Gtl,MeadowV,Twnhs,2Story,4,7,1970,1970,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,176.0,Unf,0.0,370.0,Ex,SBrkr,546,1092,0.0,1.0,1.0,3.0,1.0,TA,5,Typ,0.0,0,0,0.0,0,0.0,0,0,Y,200.0,26.0,0.0,0.0,3,WD ,76000
54,2586,535305120,bin_01,75.0,10170,Reg,AllPub,Corner,Gtl,NAmes,1Fam,1Story,6,6,1951,1951,BrkFace,522.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,216.0,TA,SBrkr,1575,1575,0.0,1.0,1.0,2.0,1.0,Gd,5,Typ,1.0,Gd,Attchd,1951.0,Unf,400.0,TA,TA,Y,0.0,0.0,0.0,0.0,6,WD ,155000
55,224,905106140,bin_03,80.0,9364,Reg,AllPub,Corner,Gtl,Sawyer,1Fam,2Story,6,7,1969,1969,Stone,143.0,TA,TA,CBlock,TA,TA,No,ALQ,371.0,Unf,0.0,292.0,TA,SBrkr,663,1352,0.0,1.0,1.0,4.0,1.0,TA,7,Typ,0.0,0,Attchd,1969.0,Fin,299.0,TA,TA,Y,379.0,36.0,0.0,0.0,3,WD ,158000
56,98,533212020,bin_09,24.0,2544,Reg,AllPub,Inside,Gtl,Somerst,Twnhs,2Story,7,5,2004,2005,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,368.0,ALQ,42.0,190.0,Ex,SBrkr,600,1200,1.0,2.0,1.0,2.0,1.0,Gd,4,Typ,0.0,0,Detchd,2004.0,RFn,480.0,TA,TA,Y,0.0,172.0,0.0,0.0,2,WD ,149500
57,2565,534479300,bin_01,82.0,9888,Reg,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,6,1954,1975,None,0.0,TA,Gd,CBlock,TA,TA,No,BLQ,486.0,Unf,0.0,450.0,TA,FuseA,936,936,0.0,1.0,0.0,2.0,1.0,TA,5,Typ,0.0,0,Attchd,1954.0,Unf,240.0,TA,TA,Y,0.0,0.0,160.0,0.0,3,WD ,121000
58,1934,535304170,bin_01,68.0,7942,Reg,AllPub,Inside,Gtl,NAmes,1Fam,1Story,6,7,1953,1953,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,85.0,ALQ,955.0,0.0,TA,FuseF,1040,1040,0.0,1.0,0.0,3.0,1.0,TA,6,Typ,0.0,0,Attchd,1953.0,Fin,293.0,TA,TA,Y,0.0,0.0,0.0,0.0,6,WD ,136000
59,997,527107010,bin_03,0.0,15038,IR2,AllPub,Corner,Gtl,Gilbert,1Fam,2Story,6,5,1996,1996,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,138.0,Unf,0.0,778.0,Gd,SBrkr,916,1636,0.0,2.0,1.0,3.0,1.0,TA,7,Typ,1.0,TA,Attchd,1996.0,Fin,386.0,TA,TA,Y,168.0,84.0,0.0,0.0,11,WD ,173000
60,64,528382020,bin_03,92.0,11764,IR1,AllPub,CulDSac,Gtl,NoRidge,1Fam,2Story,8,7,1999,2007,BrkFace,348.0,Gd,TA,PConc,Gd,TA,No,GLQ,524.0,Unf,0.0,628.0,Ex,SBrkr,1164,2270,0.0,2.0,1.0,4.0,1.0,Gd,9,Typ,1.0,Gd,Attchd,1999.0,Fin,671.0,TA,TA,Y,132.0,57.0,0.0,0.0,4,WD ,290000
