Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Heat/Cool,sunset,sunrise,SunHours,isRainy,Humidity
2007-05-20,69,43.5,56.25,-5.0,40,44.0,0427,1909,RA VCTS,0.07,29.41,30.11,10.4,4,10.7,-8.75,2007-05-20 19:09:00,2007-05-20 04:27:00,882.0,1,54.38
2007-05-21,80,45.0,62.5,1.0,50,56.0,0426,1910, ,0.0,29.36,30.06,6.3,11,8.2,-2.5,2007-05-21 19:10:00,2007-05-21 04:26:00,884.0,0,63.63
2007-05-22,87,57.5,72.25,10.0,46,58.0,0425,1911, ,0.0,29.375,30.06,10.0,18,10.2,7.25,2007-05-22 19:11:00,2007-05-22 04:25:00,886.0,0,39.12
2007-05-23,89,63.0,76.0,14.0,49,61.0,0425,1912, ,0.0,29.43,30.1,11.4,19,11.8,11.0,2007-05-23 19:12:00,2007-05-23 04:25:00,887.0,0,38.62
2007-05-24,88,64.5,76.25,14.0,54,63.0,0424,1913,RA HZ,0.02,29.439999999999998,30.11,14.9,21,17.3,11.25,2007-05-24 19:13:00,2007-05-24 04:24:00,889.0,1,46.07
2007-05-25,70,56.5,63.25,1.0,44,53.0,0423,1914, ,0.0,29.54,30.24,4.9,5,8.8,-1.75,2007-05-25 19:14:00,2007-05-25 04:23:00,891.0,0,49.44
2007-05-26,65,49.5,57.25,-5.0,55,56.0,0422,1915,TSRA RA BR HZ,1.01,29.39,30.11,2.8,17,7.2,-7.75,2007-05-26 19:15:00,2007-05-26 04:22:00,893.0,1,92.18
2007-05-27,75,58.0,66.5,4.0,47,56.0,0422,1916,RA BR,0.04,29.375,30.06,8.9,26,9.5,1.5,2007-05-27 19:16:00,2007-05-27 04:22:00,894.0,1,49.46
2007-05-28,79,52.0,65.5,2.0,47,56.0,0421,1916,RA,0.0,29.46,30.15,4.8,10,5.3,0.5,2007-05-28 19:16:00,2007-05-28 04:21:00,895.0,1,51.2
2007-05-29,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-30,87,68.0,77.5,13.0,58,65.0,0420,1918,HZ,0.0,29.345,30.04,10.3,19,10.6,12.5,2007-05-30 19:18:00,2007-05-30 04:20:00,898.0,0,51.08
2007-05-31,78,66.5,72.25,8.0,61,65.0,0420,1919,RA HZ,0.01,29.310000000000002,30.0,9.3,19,9.9,7.25,2007-05-31 19:19:00,2007-05-31 04:20:00,899.0,1,67.76
2007-06-01,85,64.5,74.75,10.0,63,66.0,0419,1920,TSRA BR HZ,0.19,29.22,29.91,4.2,17,6.4,9.75,2007-06-01 19:20:00,2007-06-01 04:19:00,901.0,1,66.85
2007-06-02,81,66.5,73.75,9.0,63,67.0,0419,1920,RA BR,0.04,29.065,29.77,6.5,22,7.4,8.75,2007-06-02 19:20:00,2007-06-02 04:19:00,901.0,1,69.13
2007-06-03,78,63.0,70.5,6.0,60,63.0,0418,1921,TSRA RA BR HZ,0.01,28.845,29.56,5.2,25,6.7,5.5,2007-06-03 19:21:00,2007-06-03 04:18:00,903.0,1,69.39
2007-06-04,71,57.0,64.0,1.0,58,60.0,0418,1922,TSRA RA BR,0.39,28.85,29.52,7.8,31,9.7,-1.0,2007-06-04 19:22:00,2007-06-04 04:18:00,904.0,1,80.84
2007-06-05,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-06,71,46.0,58.5,-8.0,48,55.0,0417,1923,RA,0.01,29.1,29.81,10.8,17,11.4,-6.5,2007-06-06 19:23:00,2007-06-06 04:17:00,906.0,1,68.06
2007-06-07,91,71.0,81.0,15.0,62,69.0,0417,1924, ,0.0,28.875,29.55,22.7,20,23.1,16.0,2007-06-07 19:24:00,2007-06-07 04:17:00,907.0,0,52.51
2007-06-08,81,60.0,70.5,3.0,53,61.0,0417,1925, ,0.0,29.21,29.85,10.9,28,13.8,5.5,2007-06-08 19:25:00,2007-06-08 04:17:00,908.0,0,53.88
2007-06-09,79,54.5,66.75,0.0,47,57.0,0416,1925, ,0.0,29.39,30.07,0.3,33,5.0,1.75,2007-06-09 19:25:00,2007-06-09 04:16:00,909.0,0,49.03
2007-06-10,81,58.0,69.5,1.0,51,59.0,0416,1926, ,0.0,29.365000000000002,30.05,4.8,17,5.6,4.5,2007-06-10 19:26:00,2007-06-10 04:16:00,910.0,0,51.8
2007-06-11,86,61.5,73.75,5.0,52,61.0,0416,1926, ,0.0,29.439999999999998,30.11,4.9,11,6.9,8.75,2007-06-11 19:26:00,2007-06-11 04:16:00,910.0,0,46.54
2007-06-12,83,64.0,73.5,5.0,50,60.0,0416,1927, ,0.0,29.465,30.16,8.3,5,8.8,8.5,2007-06-12 19:27:00,2007-06-12 04:16:00,911.0,0,43.58
2007-06-13,87,64.0,75.5,6.0,53,62.0,0416,1927, ,0.0,,30.09,7.2,5,8.6,10.5,2007-06-13 19:27:00,2007-06-13 04:16:00,911.0,0,45.53
2007-06-14,89,66.0,77.5,9.0,55,64.0,0416,1928, ,0.0,29.33,30.02,5.6,5,6.8,12.5,2007-06-14 19:28:00,2007-06-14 04:16:00,912.0,0,45.84
2007-06-15,91,65.0,78.0,9.0,56,64.0,0416,1928, ,0.0,29.310000000000002,29.99,4.1,6,4.9,13.0,2007-06-15 19:28:00,2007-06-15 04:16:00,912.0,0,46.75
2007-06-16,93,67.0,80.0,11.0,60,67.0,0416,1929,RA HZ,0.0,29.295,29.97,4.8,28,5.8,15.0,2007-06-16 19:29:00,2007-06-16 04:16:00,913.0,1,50.54
2007-06-17,91,70.5,80.75,12.0,64,70.0,0416,1929,HZ,0.0,29.255000000000003,29.95,2.8,11,6.3,15.75,2007-06-17 19:29:00,2007-06-17 04:16:00,913.0,0,56.79
2007-06-18,89,71.0,80.0,9.0,65,70.0,0416,1929,TSRA RA HZ,0.28,29.155,29.84,14.0,20,15.1,15.0,2007-06-18 19:29:00,2007-06-18 04:16:00,913.0,1,60.27
2007-06-19,80,65.0,72.5,3.0,55,63.0,0416,1930,RA,0.58,29.285,29.95,10.7,28,11.4,7.5,2007-06-19 19:30:00,2007-06-19 04:16:00,914.0,1,54.17
2007-06-20,84,61.5,72.75,3.0,52,61.0,0416,1930, ,0.0,29.425,30.1,7.8,27,8.8,7.75,2007-06-20 19:30:00,2007-06-20 04:16:00,914.0,0,48.13
2007-06-21,77,63.5,70.25,-1.0,51,60.0,0416,1930,RA,0.01,29.384999999999998,30.08,3.5,3,10.7,5.25,2007-06-21 19:30:00,2007-06-21 04:16:00,914.0,1,50.49
2007-06-22,76,61.5,68.75,-1.0,50,58.0,0417,1931,RA,0.0,29.36,30.06,7.8,6,8.7,3.75,2007-06-22 19:31:00,2007-06-22 04:17:00,914.0,1,51.2
2007-06-23,67,61.5,64.25,-5.0,58,61.0,0417,1931,RA BR,0.05,29.255000000000003,29.96,7.6,12,9.0,-0.75,2007-06-23 19:31:00,2007-06-23 04:17:00,914.0,1,80.14
2007-06-24,77,64.0,70.5,-1.0,62,65.0,0417,1931,BR HZ,0.0,29.295,29.97,7.0,9,8.0,5.5,2007-06-24 19:31:00,2007-06-24 04:17:00,914.0,0,74.49
2007-06-25,89,66.0,77.5,6.0,66,70.0,0417,1931,BR HZ,0.0,29.41,30.07,3.9,14,6.8,12.5,2007-06-25 19:31:00,2007-06-25 04:17:00,914.0,0,67.75
2007-06-26,92,71.5,81.75,10.0,69,72.0,0418,1931,TSRA BR HZ VCTS,0.16,29.42,30.11,6.1,22,7.1,16.75,2007-06-26 19:31:00,2007-06-26 04:18:00,913.0,1,65.36
2007-06-27,91,71.0,81.0,10.0,70,72.0,0418,1931,TSRA,0.15,29.325,30.02,7.5,24,8.8,16.0,2007-06-27 19:31:00,2007-06-27 04:18:00,913.0,1,69.3
2007-06-28,74,59.5,66.75,-5.0,55,60.0,0419,1931, ,0.0,29.42,30.09,11.9,3,12.5,1.75,2007-06-28 19:31:00,2007-06-28 04:19:00,912.0,0,65.92
2007-06-29,70,56.0,63.0,-8.0,55,59.0,0419,1931, ,0.0,29.439999999999998,30.13,7.6,2,8.3,-2.0,2007-06-29 19:31:00,2007-06-29 04:19:00,912.0,0,75.13
2007-06-30,79,56.0,67.5,-5.0,46,56.0,0419,1931, ,0.0,29.435000000000002,30.13,4.9,3,5.8,2.5,2007-06-30 19:31:00,2007-06-30 04:19:00,912.0,0,46.01
2007-07-01,75,57.5,66.25,-7.0,52,58.0,0420,1931, ,0.0,29.535,30.23,8.6,4,8.6,1.25,2007-07-01 19:31:00,2007-07-01 04:20:00,911.0,0,60.1
2007-07-02,79,55.5,67.25,-6.0,50,58.0,0420,1931, ,0.0,29.52,30.22,5.9,14,8.1,2.25,2007-07-02 19:31:00,2007-07-02 04:20:00,911.0,0,53.92
2007-07-03,83,61.5,72.25,0.0,57,63.0,0421,1931,TSRA RA BR,0.4,29.345,30.06,6.7,21,7.3,7.25,2007-07-03 19:31:00,2007-07-03 04:21:00,910.0,1,58.73
2007-07-04,86,67.0,76.5,5.0,65,69.0,0422,1930,TSRA BR HZ FU,0.16,29.205,29.9,4.6,27,8.2,11.5,2007-07-04 19:30:00,2007-07-04 04:22:00,908.0,1,67.63
2007-07-05,89,70.5,79.75,8.0,60,67.0,0422,1930,BR HZ FU,0.0,29.265,29.94,6.4,31,8.1,14.75,2007-07-05 19:30:00,2007-07-05 04:22:00,908.0,0,50.96
2007-07-06,86,67.0,76.5,4.0,57,64.0,0423,1930, ,0.0,29.35,30.03,3.2,5,5.5,11.5,2007-07-06 19:30:00,2007-07-06 04:23:00,907.0,0,50.94
2007-07-07,90,66.0,78.0,5.0,63,69.0,0423,1930, ,0.0,29.21,29.91,8.4,22,8.6,13.0,2007-07-07 19:30:00,2007-07-07 04:23:00,907.0,0,60.01
2007-07-08,94,75.0,84.5,12.0,67,72.0,0424,1929, ,0.0,29.085,29.77,12.9,24,13.1,19.5,2007-07-08 19:29:00,2007-07-08 04:24:00,905.0,0,55.83
2007-07-09,94,71.0,82.5,9.0,66,70.0,0425,1929,TSRA RA VCTS,0.3,29.134999999999998,29.8,4.9,24,8.8,17.5,2007-07-09 19:29:00,2007-07-09 04:25:00,904.0,1,57.52
2007-07-10,89,69.5,79.25,6.0,67,70.0,0425,1929,HZ VCTS,0.43,29.095,29.77,8.6,23,10.5,14.25,2007-07-10 19:29:00,2007-07-10 04:25:00,904.0,1,66.2
2007-07-11,77,62.5,69.75,-3.0,51,59.0,0426,1928, ,0.0,29.255000000000003,29.93,8.8,30,10.9,4.75,2007-07-11 19:28:00,2007-07-11 04:26:00,902.0,0,51.35
2007-07-12,80,60.5,70.25,-2.0,51,59.0,0427,1928, ,0.0,29.25,29.93,9.4,29,11.1,5.25,2007-07-12 19:28:00,2007-07-12 04:27:00,901.0,0,50.49
2007-07-13,78,58.5,68.25,-5.0,52,58.0,0428,1927, ,0.0,29.295,29.98,1.4,1,5.3,3.25,2007-07-13 19:27:00,2007-07-13 04:28:00,899.0,0,56.09
2007-07-14,84,61.5,72.75,0.0,55,62.0,0428,1927, ,0.0,29.11,29.79,8.3,26,13.2,7.75,2007-07-14 19:27:00,2007-07-14 04:28:00,899.0,0,53.71
2007-07-15,82,62.0,72.0,-3.0,53,61.0,0429,1926, ,0.0,29.22,29.89,2.1,29,4.9,7.0,2007-07-15 19:26:00,2007-07-15 04:29:00,897.0,0,51.21
2007-07-16,82,65.5,73.75,0.0,60,65.0,0430,1925,RA BR,0.39,29.28,29.96,4.4,24,5.2,8.75,2007-07-16 19:25:00,2007-07-16 04:30:00,895.0,1,62.17
2007-07-17,83,68.5,75.75,2.0,66,69.0,0431,1925,RA BR VCTS,0.11,29.21,29.9,5.2,23,6.5,10.75,2007-07-17 19:25:00,2007-07-17 04:31:00,894.0,1,71.79
2007-07-18,85,69.0,77.0,3.0,68,71.0,0432,1924,TSRA RA BR VCTS,1.55,29.145,29.84,9.1,24,10.1,12.0,2007-07-18 19:24:00,2007-07-18 04:32:00,892.0,1,73.8
2007-07-19,83,63.0,73.0,-1.0,63,66.0,0433,1923,DZ BR,0.16,29.235,29.9,7.0,1,11.9,8.0,2007-07-19 19:23:00,2007-07-19 04:33:00,890.0,1,70.89
2007-07-20,75,60.0,67.5,-7.0,53,59.0,0433,1923, ,0.0,29.465,30.14,8.6,3,9.1,2.5,2007-07-20 19:23:00,2007-07-20 04:33:00,890.0,0,59.72
2007-07-21,74,58.0,66.0,-8.0,52,58.0,0434,1922, ,0.0,29.54,30.22,6.5,3,7.4,1.0,2007-07-21 19:22:00,2007-07-21 04:34:00,888.0,0,60.62
2007-07-22,81,59.5,70.25,-4.0,55,61.0,0435,1921, ,0.0,29.515,30.21,1.7,16,3.3,5.25,2007-07-22 19:21:00,2007-07-22 04:35:00,886.0,0,58.46
2007-07-23,83,61.5,72.25,-2.0,55,63.0,0436,1920, ,0.0,29.395000000000003,30.1,3.2,9,4.0,7.25,2007-07-23 19:20:00,2007-07-23 04:36:00,884.0,0,54.63
2007-07-24,82,65.0,73.5,0.0,58,64.0,0437,1919, ,0.0,29.35,30.04,3.1,20,5.2,8.5,2007-07-24 19:19:00,2007-07-24 04:37:00,882.0,0,58.37
2007-07-25,85,70.5,77.75,4.0,61,67.0,0438,1918, ,0.0,29.32,30.0,5.8,25,6.6,12.75,2007-07-25 19:18:00,2007-07-25 04:38:00,880.0,0,56.38
2007-07-26,83,65.0,74.0,1.0,65,68.0,0439,1918,TS TSRA RA BR HZ,0.19,29.22,29.92,7.2,22,9.4,9.0,2007-07-26 19:18:00,2007-07-26 04:39:00,879.0,1,73.52
2007-07-27,83,70.0,76.5,3.0,68,70.0,0440,1917,RA BR HZ,0.17,29.134999999999998,29.82,3.0,3,7.9,11.5,2007-07-27 19:17:00,2007-07-27 04:40:00,877.0,1,75.04
2007-07-28,80,68.0,74.0,-1.0,65,68.0,0441,1916,BR HZ,0.0,29.255000000000003,29.93,10.0,3,10.2,9.0,2007-07-28 19:16:00,2007-07-28 04:41:00,875.0,0,73.52
2007-07-29,85,65.0,75.0,0.0,57,64.0,0442,1915, ,0.0,29.310000000000002,29.99,4.8,5,5.7,10.0,2007-07-29 19:15:00,2007-07-29 04:42:00,873.0,0,53.55
2007-07-30,89,63.5,76.25,2.0,55,64.0,0443,1914, ,0.0,29.36,30.03,3.8,6,4.3,11.25,2007-07-30 19:14:00,2007-07-30 04:43:00,871.0,0,47.78
2007-07-31,91,68.5,79.75,6.0,61,68.0,0444,1913, ,0.0,29.36,30.04,3.3,4,4.9,14.75,2007-07-31 19:13:00,2007-07-31 04:44:00,869.0,0,52.8
2007-08-01,92,69.0,80.5,8.0,62,69.0,0445,1911,HZ,0.0,29.314999999999998,30.0,3.5,9,4.1,15.5,2007-08-01 19:11:00,2007-08-01 04:45:00,866.0,0,53.37
2007-08-02,91,71.5,81.25,8.0,66,71.0,0446,1910,HZ,0.0,29.285,29.97,5.5,26,5.9,16.25,2007-08-02 19:10:00,2007-08-02 04:46:00,864.0,0,59.91
2007-08-03,90,71.0,80.5,7.0,56,66.0,0447,1909, ,0.0,29.335,30.02,2.7,3,5.7,15.5,2007-08-03 19:09:00,2007-08-03 04:47:00,862.0,0,43.07
2007-08-04,81,66.0,73.5,0.0,58,64.0,0448,1908,RA,0.03,29.335,30.03,5.7,8,6.1,8.5,2007-08-04 19:08:00,2007-08-04 04:48:00,860.0,1,58.37
2007-08-05,88,67.5,77.75,5.0,71,73.0,0449,1907,TSRA RA BR HZ,1.43,29.115,29.81,5.4,21,9.6,12.75,2007-08-05 19:07:00,2007-08-05 04:49:00,858.0,1,79.77
2007-08-06,88,74.5,81.25,8.0,72,74.0,0450,1906,TSRA RA BR HZ,0.26,29.15,29.83,1.6,10,4.9,16.25,2007-08-06 19:06:00,2007-08-06 04:50:00,856.0,1,73.57
2007-08-07,91,72.5,81.75,9.0,73,76.0,0451,1904,RA BR,1.31,29.085,29.76,6.2,25,9.0,16.75,2007-08-07 19:04:00,2007-08-07 04:51:00,853.0,1,74.87
2007-08-08,87,73.5,80.25,7.0,71,73.0,0452,1903,TSRA RA BR,0.06,29.155,29.83,3.0,3,6.9,15.25,2007-08-08 19:03:00,2007-08-08 04:52:00,851.0,1,73.48
2007-08-09,84,72.5,78.25,5.0,71,73.0,0453,1902,TSRA RA,0.05,29.16,29.84,2.5,29,6.0,13.25,2007-08-09 19:02:00,2007-08-09 04:53:00,849.0,1,78.47
2007-08-10,86,71.5,78.75,5.0,68,72.0,0454,1900,BR,0.0,29.29,29.96,4.5,2,5.9,13.75,2007-08-10 19:00:00,2007-08-10 04:54:00,846.0,0,69.66
2007-08-11,89,67.5,78.25,5.0,65,70.0,0455,1859,BR HZ,0.0,29.345,30.02,3.2,19,3.9,13.25,2007-08-11 18:59:00,2007-08-11 04:55:00,844.0,0,63.83
2007-08-12,88,67.5,77.75,5.0,67,71.0,0456,1858,TSRA,0.29,29.369999999999997,30.06,1.7,6,5.4,12.75,2007-08-12 18:58:00,2007-08-12 04:56:00,842.0,1,69.55
2007-08-13,81,67.0,74.0,0.0,57,64.0,0457,1856,BR,0.0,29.415,30.11,6.2,6,6.9,9.0,2007-08-13 18:56:00,2007-08-13 04:57:00,839.0,0,55.37
2007-08-14,84,65.0,74.5,3.0,67,70.0,0458,1855,TS TSRA RA BR,0.41,29.259999999999998,29.93,5.9,25,8.0,9.5,2007-08-14 18:55:00,2007-08-14 04:58:00,837.0,1,77.49
2007-08-15,80,71.5,75.75,4.0,67,70.0,0459,1854,TSRA RA BR,0.23,29.200000000000003,29.89,3.4,7,5.8,10.75,2007-08-15 18:54:00,2007-08-15 04:59:00,835.0,1,74.32
2007-08-16,77,66.0,71.5,-1.0,64,67.0,0500,1852,BR,0.0,29.305,29.97,3.6,1,5.7,6.5,2007-08-16 18:52:00,2007-08-16 05:00:00,832.0,0,77.24
2007-08-17,79,62.5,70.75,-2.0,54,61.0,0501,1851, ,0.0,29.435000000000002,30.1,5.9,32,6.8,5.75,2007-08-17 18:51:00,2007-08-17 05:01:00,830.0,0,55.42
2007-08-18,68,59.5,63.75,-8.0,54,58.0,0502,1849,RA,0.09,29.46,30.16,6.4,12,8.1,-1.25,2007-08-18 18:49:00,2007-08-18 05:02:00,827.0,1,70.56
2007-08-19,68,62.0,65.0,-6.0,62,64.0,0503,1848,TS RA BR,1.33,29.27,29.99,6.0,10,7.4,0.0,2007-08-19 18:48:00,2007-08-19 05:03:00,825.0,1,90.02
2007-08-20,78,68.0,73.0,2.0,68,69.0,0504,1846,TSRA RA BR,0.91,29.18,29.87,0.5,12,5.7,8.0,2007-08-20 18:46:00,2007-08-20 05:04:00,822.0,1,84.35
2007-08-21,87,69.0,78.0,7.0,70,72.0,0505,1845,BR HZ,0.0,29.235,29.91,3.8,18,6.0,13.0,2007-08-21 18:45:00,2007-08-21 05:05:00,820.0,0,76.46
2007-08-22,90,69.5,79.75,9.0,71,73.0,0506,1843,TS TSRA RA,0.37,29.259999999999998,29.94,5.3,21,9.5,14.75,2007-08-22 18:43:00,2007-08-22 05:06:00,817.0,1,74.69
2007-08-23,87,69.5,78.25,7.0,69,71.0,0508,1842,TS TSRA RA BR VCTS,2.35,29.18,29.87,9.6,21,11.7,13.25,2007-08-23 18:42:00,2007-08-23 05:08:00,814.0,1,73.29
2007-08-24,80,69.0,74.5,4.0,67,69.0,0509,1840,TSRA RA,0.24,29.134999999999998,29.82,5.8,25,7.1,9.5,2007-08-24 18:40:00,2007-08-24 05:09:00,811.0,1,77.49
2007-08-25,79,64.5,71.75,2.0,63,66.0,0510,1839,RA,0.34,29.259999999999998,29.93,3.0,36,5.6,6.75,2007-08-25 18:39:00,2007-08-25 05:10:00,809.0,1,73.95
2007-08-26,79,60.5,69.75,0.0,55,61.0,0511,1837, ,0.0,29.41,30.08,3.6,11,5.4,4.75,2007-08-26 18:37:00,2007-08-26 05:11:00,806.0,0,59.47
2007-08-27,79,61.5,70.25,0.0,60,64.0,0512,1835, ,0.0,29.384999999999998,30.07,6.5,17,7.4,5.25,2007-08-27 18:35:00,2007-08-27 05:12:00,803.0,0,69.99
2007-08-28,91,68.0,79.5,9.0,66,70.0,0513,1834, ,0.0,29.310000000000002,29.99,9.0,20,9.5,14.5,2007-08-28 18:34:00,2007-08-28 05:13:00,801.0,0,63.43
2007-08-29,85,68.5,76.75,7.0,65,69.0,0514,1832, ,0.0,29.365000000000002,30.04,5.6,3,8.2,11.75,2007-08-29 18:32:00,2007-08-29 05:14:00,798.0,0,67.08
2007-08-30,75,58.5,66.75,-4.0,54,60.0,0515,1831, ,0.0,29.490000000000002,30.18,9.1,2,9.9,1.75,2007-08-30 18:31:00,2007-08-30 05:15:00,796.0,0,63.56
2007-08-31,77,57.0,67.0,-2.0,52,59.0,0516,1829, ,0.0,29.494999999999997,30.19,3.9,4,5.2,2.0,2007-08-31 18:29:00,2007-08-31 05:16:00,793.0,0,58.56
2007-09-01,81,58.5,69.75,1.0,55,61.0,0517,1827, ,0.0,29.515,30.22,4.2,11,5.0,4.75,2007-09-01 18:27:00,2007-09-01 05:17:00,790.0,0,59.47
2007-09-02,85,61.5,73.25,5.0,57,63.0,0518,1826, ,0.0,29.439999999999998,30.15,4.2,21,5.0,8.25,2007-09-02 18:26:00,2007-09-02 05:18:00,788.0,0,56.78
2007-09-03,88,65.0,76.5,9.0,61,67.0,0519,1824, ,0.0,29.39,30.09,2.0,27,5.8,11.5,2007-09-03 18:24:00,2007-09-03 05:19:00,785.0,0,58.77
2007-09-04,89,65.0,77.0,8.0,60,66.0,0520,1822, ,0.0,29.310000000000002,30.0,2.8,22,4.3,12.0,2007-09-04 18:22:00,2007-09-04 05:20:00,782.0,0,55.79
2007-09-05,90,69.0,79.5,11.0,63,69.0,0521,1821,RA,0.0,29.275,29.96,6.4,19,6.5,14.5,2007-09-05 18:21:00,2007-09-05 05:21:00,780.0,1,57.12
2007-09-06,82,73.5,77.75,11.0,67,70.0,0522,1819,RA HZ,0.18,29.240000000000002,29.92,11.9,20,12.1,12.75,2007-09-06 18:19:00,2007-09-06 05:22:00,777.0,1,69.55
2007-09-07,84,70.5,77.25,10.0,68,70.0,0523,1817,TSRA RA BR HZ,0.19,29.18,29.85,10.4,23,13.9,12.25,2007-09-07 18:17:00,2007-09-07 05:23:00,774.0,1,73.19
2007-09-08,78,66.0,72.0,5.0,57,63.0,0524,1815, ,0.0,29.32,30.0,6.0,5,7.2,7.0,2007-09-08 18:15:00,2007-09-08 05:24:00,771.0,0,59.23
2007-09-09,80,63.0,71.5,6.0,59,63.0,0525,1814, ,0.0,29.384999999999998,30.06,9.2,3,9.9,6.5,2007-09-09 18:14:00,2007-09-09 05:25:00,769.0,0,64.73
2007-09-10,74,54.5,64.25,-2.0,58,60.0,0526,1812,RA BR,0.36,29.32,30.04,7.2,2,9.0,-0.75,2007-09-10 18:12:00,2007-09-10 05:26:00,766.0,1,80.14
2007-09-11,71,50.5,60.75,-4.0,44,52.0,0527,1810, ,0.0,29.23,29.92,11.7,29,13.5,-4.25,2007-09-11 18:10:00,2007-09-11 05:27:00,763.0,0,54.0
2007-09-12,67,46.0,56.5,-8.0,42,49.0,0528,1809, ,0.0,29.43,30.12,1.8,3,5.6,-8.5,2007-09-12 18:09:00,2007-09-12 05:28:00,761.0,0,58.23
2007-09-13,78,51.5,64.75,-1.0,45,54.0,0529,1807, ,0.0,29.265,29.99,8.3,19,8.5,-0.25,2007-09-13 18:07:00,2007-09-13 05:29:00,758.0,0,48.73
