,id,pid,ms_subclass,lot_frontage,lot_area,lot_shape,utilities,lot_config,land_slope,neighborhood,house_style,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,heating_qc,electrical,1st_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,screen_porch,mo_sold,sale_type,saleprice
10,1044,527451290,bin_09,21.0,1680,4,4,Inside,3,BrDale,2Story,6,5,1971,1971,BrkFace,232.0,3,3,CBlock,3.0,3.0,1.0,5.0,387.0,1.0,0.0,96.0,3,5,483,987,0.0,1.0,1.0,2.0,1.0,3,4,8,0.0,0.0,Detchd,1971.0,1.0,264.0,3.0,3.0,2,0.0,0.0,0.0,0.0,7,COD,85400
11,2752,906380150,bin_01,64.0,7488,3,4,Inside,3,CollgCr,1Story,7,5,2005,2005,None,0.0,4,3,PConc,4.0,3.0,3.0,6.0,393.0,1.0,0.0,815.0,5,5,1208,1208,0.0,2.0,0.0,2.0,1.0,4,6,8,0.0,0.0,Attchd,2005.0,2.0,632.0,3.0,3.0,2,105.0,58.0,0.0,0.0,2,WD ,183600
12,807,906226060,bin_04,120.0,26400,4,4,FR2,3,SawyerW,2Story,5,7,1880,2007,None,0.0,4,3,PConc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,1288,2016,0.0,1.0,0.0,4.0,1.0,3,7,5,1.0,3.0,Attchd,1900.0,1.0,576.0,3.0,3.0,1,0.0,0.0,0.0,0.0,6,WD ,131000
13,1177,533236070,bin_09,24.0,2645,4,4,Inside,3,Somerst,2Story,8,5,1999,2000,BrkFace,456.0,4,3,PConc,4.0,3.0,1.0,6.0,813.0,1.0,0.0,147.0,5,5,962,1607,1.0,2.0,1.0,3.0,1.0,4,7,8,0.0,0.0,Detchd,2000.0,1.0,480.0,3.0,3.0,2,169.0,0.0,0.0,0.0,12,ConLD,200000
14,1480,907418040,bin_01,74.0,9627,4,4,Inside,3,CollgCr,1Story,7,5,2007,2007,None,0.0,4,3,PConc,4.0,3.0,3.0,6.0,24.0,1.0,0.0,1327.0,5,5,1361,1361,0.0,2.0,0.0,3.0,1.0,4,6,8,0.0,0.0,Attchd,2007.0,2.0,610.0,3.0,3.0,2,0.0,50.0,0.0,0.0,6,WD ,193000
15,324,923202105,bin_01,93.0,10114,4,4,Inside,3,Mitchel,1Story,5,5,2004,2005,None,0.0,3,3,PConc,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1430.0,5,5,1430,1430,0.0,2.0,0.0,3.0,1.0,4,7,8,0.0,0.0,Attchd,2004.0,2.0,624.0,3.0,3.0,2,0.0,0.0,0.0,0.0,3,WD ,173500
16,1311,902301140,bin_04,34.0,4571,4,4,Inside,3,OldTown,2Story,5,5,1916,1950,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,624.0,2,5,624,1344,0.0,1.0,0.0,4.0,1.0,3,7,8,0.0,0.0,Detchd,1916.0,1.0,513.0,2.0,2.0,2,0.0,0.0,96.0,0.0,5,COD,98000
17,770,905101490,bin_01,80.0,8816,4,4,Corner,3,Sawyer,1Story,5,6,1963,1963,None,0.0,3,3,PConc,3.0,3.0,1.0,3.0,651.0,1.0,0.0,470.0,3,5,1121,1121,1.0,1.0,0.0,3.0,1.0,3,5,8,0.0,0.0,Detchd,1963.0,1.0,480.0,3.0,3.0,2,0.0,80.0,0.0,0.0,6,WD ,139000
18,2063,905107140,bin_01,71.0,8197,4,4,Inside,3,Sawyer,1Story,6,5,1977,1977,BrkFace,148.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,660.0,5,5,1285,1285,0.0,1.0,1.0,3.0,1.0,3,7,8,1.0,3.0,Attchd,1977.0,2.0,528.0,3.0,3.0,2,138.0,0.0,0.0,0.0,4,WD ,143500
19,69,528458070,bin_03,72.0,8640,4,4,Inside,3,Somerst,2Story,7,5,2009,2009,None,0.0,3,3,PConc,4.0,3.0,2.0,6.0,24.0,1.0,0.0,732.0,5,5,764,1547,0.0,2.0,1.0,3.0,1.0,4,7,8,0.0,0.0,Attchd,2009.0,1.0,614.0,3.0,3.0,2,169.0,45.0,0.0,0.0,6,Con,215200
20,2062,905106150,bin_01,109.0,8724,4,4,Inside,3,Sawyer,1Story,5,5,1968,1968,None,0.0,3,3,CBlock,4.0,3.0,1.0,4.0,492.0,1.0,0.0,402.0,4,5,894,894,0.0,1.0,0.0,3.0,1.0,3,5,8,1.0,1.0,Attchd,1968.0,3.0,450.0,3.0,3.0,2,0.0,0.0,0.0,0.0,5,WD ,129000
21,351,527131030,bin_07,40.0,5664,3,4,Inside,3,StoneBr,1Story,8,5,2000,2000,None,0.0,4,3,PConc,4.0,3.0,1.0,6.0,1158.0,1.0,0.0,343.0,5,5,1659,1659,1.0,2.0,0.0,2.0,1.0,5,5,8,1.0,5.0,Attchd,2000.0,3.0,499.0,3.0,3.0,2,212.0,59.0,0.0,0.0,10,WD ,278000
22,2393,528142010,bin_03,103.0,12867,3,4,Corner,3,NridgHt,2Story,8,5,2005,2006,0,0.0,4,3,PConc,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1209.0,5,5,1209,2253,0.0,2.0,1.0,3.0,1.0,5,8,8,1.0,4.0,Attchd,2005.0,3.0,575.0,3.0,3.0,2,243.0,142.0,0.0,0.0,7,New,344133
23,12,527165230,bin_01,0.0,7980,3,4,Inside,3,Gilbert,1Story,6,7,1992,2007,None,0.0,3,4,PConc,4.0,3.0,1.0,5.0,935.0,1.0,0.0,233.0,5,5,1187,1187,1.0,2.0,0.0,3.0,1.0,3,6,8,0.0,0.0,Attchd,1992.0,3.0,420.0,3.0,3.0,2,483.0,21.0,0.0,0.0,3,WD ,185000
24,2339,527250040,bin_08,100.0,34650,4,4,Inside,3,Gilbert,1Story,5,5,1955,1955,None,0.0,3,3,CBlock,3.0,3.0,2.0,3.0,1056.0,1.0,0.0,0.0,3,5,1056,1056,1.0,1.0,0.0,3.0,1.0,3,5,8,0.0,0.0,Attchd,1955.0,3.0,572.0,3.0,3.0,2,264.0,0.0,0.0,0.0,1,WD ,145000
25,624,535104120,bin_01,92.0,10573,3,4,Corner,3,NAmes,1Story,6,6,1961,1961,BrkFace,3.0,3,3,CBlock,3.0,3.0,1.0,3.0,1312.0,1.0,0.0,141.0,5,5,1453,1453,1.0,2.0,0.0,3.0,1.0,3,6,8,1.0,3.0,Attchd,1961.0,2.0,530.0,3.0,3.0,2,0.0,49.0,0.0,288.0,4,WD ,187500
26,86,532376160,bin_01,65.0,8450,4,4,Inside,3,Sawyer,1Story,5,8,1965,2009,None,0.0,3,4,CBlock,3.0,3.0,1.0,6.0,553.0,4.0,117.0,224.0,5,5,894,894,1.0,1.0,0.0,3.0,1.0,3,5,8,1.0,4.0,Detchd,1973.0,1.0,336.0,3.0,3.0,2,416.0,144.0,0.0,0.0,4,WD ,138500
27,1534,909277040,bin_06,0.0,11700,3,4,Inside,2,Crawfor,1.5Fin,5,6,1937,1995,None,0.0,3,3,CBlock,3.0,3.0,1.0,4.0,606.0,1.0,0.0,336.0,5,5,1265,1938,0.0,2.0,0.0,4.0,1.0,4,7,6,1.0,4.0,Detchd,1937.0,1.0,240.0,3.0,3.0,2,0.0,40.0,0.0,0.0,7,WD ,198000
28,2243,911103060,bin_08,75.0,8250,4,4,Inside,3,IDOTRR,2Story,5,6,1895,2006,None,0.0,3,4,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,957.0,2,5,1034,1991,0.0,2.0,0.0,4.0,2.0,3,9,8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,133.0,0.0,6,WD ,119600
29,1957,535450190,bin_06,60.0,8064,4,4,Corner,3,NAmes,1.5Fin,5,7,1949,2006,None,0.0,3,4,CBlock,3.0,3.0,2.0,1.0,0.0,1.0,0.0,672.0,5,5,672,924,0.0,1.0,0.0,3.0,1.0,3,6,8,1.0,1.0,Detchd,2003.0,1.0,576.0,3.0,3.0,2,0.0,0.0,0.0,0.0,7,WD ,122900
30,380,527355150,bin_01,80.0,9600,4,4,Inside,3,NWAmes,1Story,8,5,1981,1981,None,0.0,4,3,PConc,4.0,3.0,1.0,5.0,1104.0,1.0,0.0,1420.0,3,5,2524,2524,1.0,2.0,1.0,4.0,1.0,4,9,8,1.0,4.0,Attchd,1981.0,3.0,542.0,3.0,3.0,2,474.0,120.0,0.0,0.0,7,WD ,278000
31,2860,909276010,bin_04,0.0,11435,3,4,Corner,2,Crawfor,2Story,8,7,1929,1950,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,792.0,2,5,792,1517,0.0,1.0,0.0,3.0,1.0,4,7,8,2.0,4.0,Detchd,1931.0,1.0,400.0,3.0,3.0,2,0.0,0.0,0.0,0.0,6,WD ,230000
32,2517,533250130,bin_07,30.0,9549,3,4,CulDSac,3,Veenker,1Story,8,5,1995,1996,None,0.0,4,4,PConc,4.0,4.0,3.0,2.0,437.0,6.0,1057.0,0.0,5,5,1494,1494,1.0,1.0,1.0,2.0,1.0,5,6,8,1.0,4.0,Attchd,1995.0,3.0,481.0,3.0,3.0,2,0.0,30.0,0.0,216.0,4,WD ,270000
33,1933,535302070,bin_01,60.0,10950,4,4,Inside,3,NAmes,1Story,6,6,1952,1952,None,0.0,3,3,CBlock,3.0,3.0,1.0,5.0,441.0,1.0,0.0,507.0,3,5,948,948,0.0,1.0,0.0,2.0,1.0,3,5,8,0.0,0.0,Detchd,1952.0,1.0,410.0,3.0,3.0,0,0.0,48.0,0.0,0.0,4,WD ,125000
34,820,906340110,bin_01,79.0,10637,4,4,Inside,3,CollgCr,1Story,8,5,2007,2008,Stone,336.0,4,3,PConc,5.0,3.0,4.0,6.0,1288.0,1.0,0.0,417.0,5,5,1718,1718,1.0,2.0,0.0,3.0,1.0,4,7,8,1.0,4.0,Attchd,2007.0,2.0,826.0,3.0,3.0,2,208.0,44.0,0.0,0.0,9,WD ,297000
35,675,535426150,bin_01,80.0,9000,3,4,Inside,2,NAmes,1Story,6,6,1958,1958,BrkFace,82.0,3,3,CBlock,4.0,3.0,4.0,1.0,0.0,1.0,0.0,160.0,2,5,1142,1142,0.0,1.0,0.0,2.0,1.0,3,5,8,1.0,4.0,Basment,1958.0,2.0,384.0,3.0,3.0,2,0.0,28.0,64.0,0.0,4,WD ,113500
36,2910,923225240,bin_09,41.0,2665,4,4,Inside,3,MeadowV,2Story,5,6,1977,1977,None,0.0,3,3,PConc,3.0,3.0,1.0,5.0,548.0,3.0,173.0,36.0,5,5,925,1475,0.0,2.0,0.0,4.0,1.0,3,6,8,1.0,3.0,Attchd,1977.0,2.0,336.0,3.0,3.0,2,104.0,26.0,0.0,0.0,7,WD ,127000
37,21,527358140,bin_01,105.0,11751,3,4,Inside,3,NWAmes,1Story,6,6,1977,1977,BrkFace,480.0,3,3,CBlock,4.0,3.0,1.0,4.0,705.0,1.0,0.0,1139.0,5,5,1844,1844,0.0,2.0,0.0,3.0,1.0,3,7,8,1.0,3.0,Attchd,1977.0,2.0,546.0,3.0,3.0,2,0.0,122.0,0.0,0.0,1,COD,190000
38,1873,534177210,bin_01,80.0,9600,4,4,Inside,3,NWAmes,1Story,7,6,1973,1973,BrkFace,320.0,3,3,CBlock,3.0,3.0,1.0,5.0,916.0,1.0,0.0,326.0,2,5,1242,1242,0.0,1.0,1.0,3.0,1.0,3,6,8,1.0,3.0,Attchd,1973.0,1.0,528.0,3.0,3.0,2,0.0,0.0,0.0,0.0,9,WD ,175500
39,2125,907135050,bin_01,60.0,8428,2,4,Inside,3,CollgCr,1Story,5,7,1994,1994,None,0.0,3,4,PConc,4.0,4.0,1.0,6.0,420.0,1.0,0.0,570.0,5,5,990,990,1.0,1.0,0.0,3.0,1.0,3,5,8,0.0,0.0,Detchd,1995.0,1.0,384.0,3.0,3.0,2,256.0,0.0,0.0,0.0,7,WD ,146000
40,1489,908102260,bin_01,75.0,9937,4,4,Inside,3,Edwards,1Story,5,6,1965,1965,None,0.0,4,3,CBlock,3.0,3.0,1.0,4.0,830.0,2.0,290.0,136.0,4,5,1256,1256,1.0,1.0,1.0,3.0,1.0,3,6,8,0.0,0.0,Attchd,1965.0,3.0,276.0,3.0,3.0,2,736.0,68.0,0.0,0.0,6,WD ,147500
41,2383,528110050,bin_01,107.0,13891,4,4,Inside,3,NridgHt,1Story,10,5,2006,2006,0,0.0,5,3,PConc,5.0,4.0,4.0,6.0,1386.0,1.0,0.0,690.0,5,5,2076,2076,1.0,2.0,1.0,2.0,1.0,5,7,8,1.0,4.0,Attchd,2006.0,3.0,850.0,3.0,3.0,2,216.0,229.0,0.0,0.0,9,New,465000
42,983,923275040,bin_05,0.0,9101,3,4,Corner,3,Mitchel,SFoyer,5,6,1978,1978,BrkFace,104.0,3,4,PConc,4.0,3.0,3.0,6.0,1097.0,1.0,0.0,0.0,5,5,1110,1110,1.0,1.0,0.0,1.0,1.0,4,4,8,1.0,3.0,Attchd,1978.0,3.0,602.0,3.0,3.0,2,303.0,30.0,0.0,0.0,7,WD ,165500
43,1325,902406090,bin_06,81.0,12150,4,4,Inside,3,OldTown,1.5Fin,5,5,1954,1954,BrkFace,335.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1050.0,5,3,1050,1795,0.0,2.0,0.0,4.0,1.0,3,7,8,0.0,0.0,Attchd,1954.0,1.0,352.0,2.0,3.0,2,0.0,0.0,0.0,0.0,11,WD ,131500
44,1378,905102170,bin_01,70.0,11200,4,4,Inside,3,Sawyer,1Story,5,5,1965,1965,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,906.0,1.0,0.0,134.0,5,5,1040,1040,1.0,1.0,0.0,3.0,1.0,3,5,8,0.0,0.0,Detchd,1965.0,1.0,384.0,3.0,3.0,2,0.0,0.0,0.0,0.0,2,WD ,129500
45,1537,909281110,bin_04,100.0,9670,3,4,Inside,2,Crawfor,2Story,8,6,1935,1950,Stone,40.0,3,3,PConc,3.0,2.0,1.0,2.0,210.0,1.0,0.0,398.0,3,5,983,1873,0.0,1.0,1.0,4.0,1.0,3,9,8,2.0,4.0,Detchd,1935.0,3.0,786.0,2.0,3.0,2,0.0,0.0,207.0,0.0,6,WD ,257076
46,905,909101140,bin_06,60.0,10998,4,4,Inside,3,Edwards,1.5Fin,5,5,1941,1960,None,0.0,3,3,CBlock,3.0,3.0,1.0,2.0,408.0,4.0,420.0,156.0,5,5,984,1604,0.0,2.0,0.0,3.0,1.0,3,6,6,0.0,0.0,Detchd,1977.0,1.0,660.0,3.0,3.0,2,0.0,68.0,0.0,0.0,7,WD ,117000
47,1532,909275050,bin_04,60.0,7200,4,4,Inside,2,Crawfor,2Story,7,6,1931,2000,None,0.0,3,2,BrkTil,4.0,3.0,1.0,1.0,0.0,1.0,0.0,776.0,3,5,851,1502,0.0,1.0,1.0,3.0,1.0,3,6,8,1.0,4.0,Attchd,1931.0,2.0,270.0,3.0,3.0,1,0.0,0.0,112.0,0.0,2,WD ,149000
48,132,534475100,bin_01,80.0,9920,4,4,Inside,3,NAmes,1Story,5,5,1954,1954,Stone,110.0,3,3,CBlock,3.0,3.0,1.0,3.0,354.0,2.0,290.0,412.0,3,5,1063,1063,1.0,1.0,0.0,3.0,1.0,3,6,8,0.0,0.0,Attchd,1954.0,2.0,280.0,3.0,3.0,2,0.0,0.0,164.0,0.0,2,WD ,128000
49,1078,528188090,bin_09,36.0,2448,4,4,Inside,3,NridgHt,2Story,7,5,2003,2004,Stone,106.0,4,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,764.0,5,5,764,1626,0.0,2.0,1.0,2.0,1.0,4,6,8,0.0,0.0,BuiltIn,2003.0,2.0,474.0,3.0,3.0,2,0.0,27.0,0.0,0.0,10,WD ,155000
50,2511,533221080,bin_09,0.0,2998,4,4,Inside,3,Somerst,2Story,6,5,2000,2000,BrkFace,513.0,4,3,PConc,4.0,3.0,1.0,6.0,353.0,1.0,0.0,403.0,5,5,768,1524,0.0,2.0,1.0,2.0,1.0,4,4,8,0.0,0.0,Detchd,2000.0,1.0,440.0,3.0,3.0,2,0.0,32.0,0.0,0.0,6,WD ,166000
51,912,909250220,bin_06,65.0,7804,4,4,Inside,3,SWISU,1.5Fin,4,3,1928,1950,None,0.0,3,3,BrkTil,3.0,3.0,1.0,4.0,622.0,1.0,0.0,500.0,3,5,1328,1981,1.0,2.0,0.0,4.0,1.0,4,7,6,2.0,3.0,Detchd,1981.0,1.0,576.0,3.0,3.0,2,431.0,44.0,0.0,0.0,12,WD ,135000
52,2351,527356020,bin_03,80.0,16692,3,4,Inside,3,NWAmes,2Story,7,5,1978,1978,BrkFace,184.0,3,3,CBlock,4.0,3.0,1.0,4.0,790.0,2.0,469.0,133.0,3,5,1392,2784,1.0,3.0,1.0,5.0,1.0,4,12,8,2.0,3.0,Attchd,1978.0,2.0,564.0,3.0,3.0,2,0.0,112.0,0.0,440.0,7,WD ,250000
53,330,923226250,bin_09,21.0,1476,4,4,Inside,3,MeadowV,2Story,4,7,1970,1970,None,0.0,3,3,CBlock,3.0,3.0,1.0,6.0,176.0,1.0,0.0,370.0,5,5,546,1092,0.0,1.0,1.0,3.0,1.0,3,5,8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,200.0,26.0,0.0,0.0,3,WD ,76000
54,2586,535305120,bin_01,75.0,10170,4,4,Corner,3,NAmes,1Story,6,6,1951,1951,BrkFace,522.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,216.0,3,5,1575,1575,0.0,1.0,1.0,2.0,1.0,4,5,8,1.0,4.0,Attchd,1951.0,1.0,400.0,3.0,3.0,2,0.0,0.0,0.0,0.0,6,WD ,155000
55,224,905106140,bin_03,80.0,9364,4,4,Corner,3,Sawyer,2Story,6,7,1969,1969,Stone,143.0,3,3,CBlock,3.0,3.0,1.0,5.0,371.0,1.0,0.0,292.0,3,5,663,1352,0.0,1.0,1.0,4.0,1.0,3,7,8,0.0,0.0,Attchd,1969.0,3.0,299.0,3.0,3.0,2,379.0,36.0,0.0,0.0,3,WD ,158000
56,98,533212020,bin_09,24.0,2544,4,4,Inside,3,Somerst,2Story,7,5,2004,2005,None,0.0,4,3,PConc,4.0,3.0,1.0,6.0,368.0,5.0,42.0,190.0,5,5,600,1200,1.0,2.0,1.0,2.0,1.0,4,4,8,0.0,0.0,Detchd,2004.0,2.0,480.0,3.0,3.0,2,0.0,172.0,0.0,0.0,2,WD ,149500
57,2565,534479300,bin_01,82.0,9888,4,4,Inside,3,NAmes,1Story,5,6,1954,1975,None,0.0,3,4,CBlock,3.0,3.0,1.0,4.0,486.0,1.0,0.0,450.0,3,4,936,936,0.0,1.0,0.0,2.0,1.0,3,5,8,0.0,0.0,Attchd,1954.0,1.0,240.0,3.0,3.0,2,0.0,0.0,160.0,0.0,3,WD ,121000
58,1934,535304170,bin_01,68.0,7942,4,4,Inside,3,NAmes,1Story,6,7,1953,1953,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,85.0,5.0,955.0,0.0,3,3,1040,1040,0.0,1.0,0.0,3.0,1.0,3,6,8,0.0,0.0,Attchd,1953.0,3.0,293.0,3.0,3.0,2,0.0,0.0,0.0,0.0,6,WD ,136000
59,997,527107010,bin_03,0.0,15038,2,4,Corner,3,Gilbert,2Story,6,5,1996,1996,None,0.0,3,3,PConc,4.0,3.0,1.0,3.0,138.0,1.0,0.0,778.0,4,5,916,1636,0.0,2.0,1.0,3.0,1.0,3,7,8,1.0,3.0,Attchd,1996.0,3.0,386.0,3.0,3.0,2,168.0,84.0,0.0,0.0,11,WD ,173000
60,64,528382020,bin_03,92.0,11764,3,4,CulDSac,3,NoRidge,2Story,8,7,1999,2007,BrkFace,348.0,4,3,PConc,4.0,3.0,1.0,6.0,524.0,1.0,0.0,628.0,5,5,1164,2270,0.0,2.0,1.0,4.0,1.0,4,9,8,1.0,4.0,Attchd,1999.0,3.0,671.0,3.0,3.0,2,132.0,57.0,0.0,0.0,4,WD ,290000
61,1799,528458130,bin_03,75.0,9000,4,4,Inside,3,Somerst,2Story,8,5,2007,2007,None,0.0,4,3,PConc,4.0,3.0,3.0,6.0,64.0,1.0,0.0,1120.0,5,5,1184,2610,0.0,2.0,1.0,4.0,1.0,5,11,8,1.0,4.0,BuiltIn,2007.0,3.0,550.0,3.0,3.0,2,208.0,364.0,0.0,0.0,8,New,303477
62,230,905109170,bin_01,0.0,20062,3,4,Inside,2,ClearCr,1Story,7,7,1977,2001,None,0.0,4,4,CBlock,4.0,3.0,4.0,5.0,1092.0,1.0,0.0,328.0,4,5,1483,1483,1.0,1.0,1.0,1.0,1.0,3,4,8,2.0,3.0,Attchd,1977.0,2.0,690.0,3.0,3.0,2,496.0,0.0,0.0,0.0,4,WD ,270000
63,1295,902109160,bin_06,81.0,7308,4,4,Corner,3,OldTown,1.5Fin,5,5,1920,1950,None,0.0,2,2,BrkTil,3.0,3.0,1.0,3.0,360.0,1.0,0.0,576.0,4,4,960,1740,0.0,1.0,0.0,2.0,1.0,5,6,8,1.0,4.0,Detchd,1920.0,1.0,225.0,2.0,2.0,0,0.0,0.0,236.0,0.0,6,WD ,122250
64,638,535178120,bin_01,70.0,8750,4,4,Inside,3,NAmes,1Story,5,5,1955,1955,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,172.0,2.0,483.0,727.0,4,4,1382,1382,0.0,1.0,0.0,3.0,1.0,4,6,8,0.0,0.0,Attchd,1955.0,1.0,350.0,3.0,3.0,2,280.0,0.0,0.0,0.0,7,WD ,153000
65,2278,923202134,bin_01,70.0,8402,4,4,Inside,3,Mitchel,1Story,5,5,2007,2007,None,0.0,3,3,PConc,4.0,3.0,1.0,5.0,206.0,1.0,0.0,914.0,5,5,1120,1120,0.0,1.0,0.0,3.0,1.0,3,6,8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,0.0,30.0,0.0,0.0,12,New,147000
66,2202,909252150,bin_04,63.0,4000,4,4,Inside,3,Crawfor,2Story,7,8,1930,1995,None,0.0,3,3,BrkTil,4.0,3.0,1.0,6.0,246.0,1.0,0.0,285.0,3,5,567,1098,1.0,1.0,0.0,2.0,1.0,3,5,8,1.0,4.0,Detchd,1930.0,1.0,216.0,3.0,3.0,2,0.0,0.0,0.0,0.0,6,WD ,148500
