Trap,Latitude,Longitude,Tavg,Depart,DewPoint,WetBulb,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Heat/Cool,SunHours,isRainy,Humidity,Year,Month,Week,DewPoint_Roll22Lag1,WetBulb_Roll16Lag7,AvgSpeed_Roll22Lag5,Humidity_Roll16Lag1,isRainy_Roll6Lag21,PrecipTotal_Roll1Lag5,ResultSpeed_Roll23Lag5,Heat/Cool_Roll12Lag12,Tavg_Roll12Lag12,Precip_X_DewPointRL,Precip_X_WetBulbRL,Precip_X_TavgRL,Precip_X_ResultDir,Precip_X_Latitude,Precip_X_Longitude,Species_1.0,Species_2.0,Species_3.0
T148,42.01743,-87.68776899999997,75.75,6.0,67,69.0,416,1930,3.97,29.0,29.7,7.2,18,11.6,10.75,914.0,1,74.32,2009,6,25,49.59090909090909,53.5,7.813636363636362,64.98312500000003,0.5,0.0,5.773913043478261,-4.6875,60.3125,196.87590909090912,212.395,239.440625,71.46000000000001,166.8091971,-348.1204429299999,1,0,0
T028,41.986921,-87.689778,78.0,7.0,70,72.0,505,1845,0.0,29.235,29.91,3.8,18,6.0,13.0,820.0,0,76.46,2007,8,34,64.04545454545455,69.875,6.463636363636365,72.998125,0.3333333333333333,2.7755575615628914e-17,4.456521739130437,13.833333333333334,78.83333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
T013,41.923738,-87.785288,60.0,-7.0,56,57.0,416,1926,0.52,29.235,29.94,6.4,3,8.0,-5.0,910.0,1,86.62,2011,6,23,55.77272727272727,57.9375,10.545454545454545,67.5493749999999,0.3333333333333333,0.0,9.717391304347828,-5.604166666666667,59.395833333333336,29.001818181818184,30.1275,30.885833333333334,1.56,21.80034376,-45.648349759999995,0,0,1
T151,41.916265,-87.800515,67.75,10.0,56,61.0,552,1729,0.0,29.365,30.04,3.9,17,4.6,2.75,697.0,0,66.04,2007,10,40,50.45454545454545,57.3125,9.036363636363637,59.03812500000002,0.16666666666666666,0.0,7.286956521739133,-0.2708333333333333,64.72916666666667,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T160,41.903002,-87.68826700000002,79.75,9.0,71,73.0,506,1843,0.37,29.26,29.94,5.3,21,9.5,14.75,817.0,1,74.69,2007,8,34,64.72727272727273,70.25,6.345454545454547,72.79125,0.16666666666666666,2.7755575615628914e-17,4.460869565217394,14.145833333333334,79.14583333333333,23.949090909090913,25.9925,29.28395833333333,7.77,15.50411074,-32.444658790000005,0,0,1
T200,41.678618,-87.559308,75.25,12.0,59,65.0,536,1755,0.0,29.44,30.11,5.0,26,9.7,10.25,739.0,0,57.05,2007,9,38,54.18181818181818,63.1875,8.090909090909092,58.656250000000036,0.3333333333333333,0.0,6.708695652173913,9.270833333333334,74.27083333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T027,41.98480900000001,-87.728492,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
T015,41.974089,-87.824812,67.75,10.0,56,61.0,552,1729,0.0,29.365,30.04,3.9,17,4.6,2.75,697.0,0,66.04,2007,10,40,50.45454545454545,57.3125,9.036363636363637,59.03812500000002,0.16666666666666666,0.0,7.286956521739133,-0.2708333333333333,64.72916666666667,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
T152,41.846075,-87.716277,78.0,7.0,70,72.0,505,1845,0.0,29.235,29.91,3.8,18,6.0,13.0,820.0,0,76.46,2007,8,34,64.04545454545455,69.875,6.463636363636365,72.998125,0.3333333333333333,2.7755575615628914e-17,4.456521739130437,13.833333333333334,78.83333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T061,41.801179,-87.679447,63.75,3.0,52,58.0,543,1742,0.0,29.37,30.04,3.8,8,4.2,-1.25,719.0,0,65.57,2013,9,39,55.72727272727273,62.8125,8.622727272727266,65.57124999999978,0.3333333333333333,0.0,7.178260869565213,7.833333333333333,72.83333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
T066,41.77166,-87.703047,72.0,2.0,60,64.0,416,1929,0.0,29.155,29.83,5.8,6,6.6,7.0,913.0,0,65.95,2011,6,24,54.90909090909091,60.875,10.263636363636362,63.50124999999993,0.6666666666666666,0.0,8.791304347826092,0.041666666666666664,65.04166666666667,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T115,41.673408,-87.599862,67.25,-1.0,51,57.0,416,1928,0.0,29.37,30.05,6.6,6,7.9,2.25,912.0,0,55.96,2013,6,24,52.5,55.125,9.204545454545446,68.88249999999982,0.6666666666666666,0.00999999999999778,7.88695652173913,-3.6875,61.3125,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T148,42.01743,-87.68776899999997,81.75,9.0,73,76.0,451,1904,1.31,29.085,29.76,6.2,25,9.0,16.75,853.0,1,74.87,2007,8,32,61.22727272727273,65.3125,7.1,60.756875,0.3333333333333333,0.0,5.46521739130435,7.729166666666667,72.72916666666667,80.20772727272727,85.559375,95.27520833333334,32.75,55.0428333,-114.87097738999996,0,1,0
T003,41.964242,-87.757639,67.25,-1.0,51,57.0,416,1928,0.0,29.37,30.05,6.6,6,7.9,2.25,912.0,0,55.96,2013,6,24,52.5,55.125,9.204545454545446,68.88249999999982,0.6666666666666666,0.00999999999999778,7.88695652173913,-3.6875,61.3125,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T028,41.986921,-87.689778,77.0,3.0,68,71.0,432,1924,1.55,29.145,29.84,9.1,24,10.1,12.0,892.0,1,73.8,2007,7,29,58.5,64.875,8.595454545454546,57.40937500000002,0.6666666666666666,2.220446049250313e-16,6.8521739130434804,8.0,73.0,90.675,100.55625,113.15,37.2,65.07972755,-135.91915590000002,1,0,0
T007,41.994991,-87.769279,69.75,-3.0,51,59.0,426,1928,0.0,29.255000000000006,29.93,8.8,30,10.9,4.75,902.0,0,51.35,2007,7,28,58.77272727272727,62.8125,8.354545454545457,60.70687500000001,0.5,1.3877787807814457e-16,6.652173913043479,7.416666666666667,72.41666666666667,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T035,41.836644,-87.677737,76.5,3.0,68,70.0,440,1917,0.17,29.135,29.82,3.0,3,7.9,11.5,877.0,1,75.04,2007,7,30,59.0,65.0625,8.44090909090909,60.20000000000002,0.3333333333333333,0.0,6.417391304347827,10.833333333333334,75.83333333333333,10.030000000000001,11.060625,12.891666666666667,0.51,7.112229480000001,-14.90521529,0,0,1
T228,41.951866,-87.72505699999998,78.25,8.0,64,69.0,514,1832,0.0,29.325,30.01,3.9,10,4.7,13.25,798.0,0,61.64,2013,8,35,60.18181818181818,64.35416666666666,6.904545454545451,62.63437499999983,0.3333333333333333,0.0,5.286956521739129,5.958333333333333,70.95833333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T089,41.723195,-87.64997,60.5,-6.0,45,52.0,417,1924,0.0,29.23,29.92,9.5,3,9.9,-4.5,907.0,0,56.59,2013,6,23,52.77272727272727,58.625,9.345454545454537,72.70437499999983,0.0,0.009999999999997788,7.769565217391302,-1.2708333333333333,63.729166666666664,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T015,41.974089,-87.824812,69.75,-3.0,51,59.0,426,1928,0.0,29.255000000000006,29.93,8.8,30,10.9,4.75,902.0,0,51.35,2007,7,28,58.77272727272727,62.8125,8.354545454545457,60.70687500000001,0.5,1.3877787807814457e-16,6.652173913043479,7.416666666666667,72.41666666666667,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T162,41.725517,-87.61425799999998,75.75,4.0,67,70.0,459,1854,0.23,29.200000000000006,29.89,3.4,7,5.8,10.75,835.0,1,74.32,2007,8,33,64.27272727272727,68.6875,6.459090909090909,64.46,0.0,5.551115123125783e-17,4.721739130434784,11.770833333333334,76.77083333333333,14.782727272727271,15.798125,17.657291666666666,1.61,9.596868910000001,-20.151279339999995,0,1,0
T212,41.680946,-87.535198,65.75,-2.0,54,59.0,519,1824,0.0,29.450000000000006,30.16,4.7,5,6.0,0.75,785.0,0,65.81,2009,9,36,56.68181818181818,63.6875,8.504545454545452,69.45812499999995,0.16666666666666666,0.01999999999999863,7.126086956521742,8.020833333333334,73.02083333333333,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T016,42.011601,-87.81150600000002,76.5,3.0,68,70.0,440,1917,0.17,29.135,29.82,3.0,3,7.9,11.5,877.0,1,75.04,2007,7,30,59.0,65.0625,8.44090909090909,60.20000000000002,0.3333333333333333,0.0,6.417391304347827,10.833333333333334,75.83333333333333,10.030000000000001,11.060625,12.891666666666667,0.51,7.141972170000001,-14.927956020000005,0,0,1
T033,41.906638,-87.701431,71.0,-2.0,57,62.0,445,1911,0.0,29.26,29.95,7.6,30,7.8,6.0,866.0,0,61.27,2013,8,31,61.54545454545455,68.5625,7.65454545454545,66.86312499999985,0.16666666666666666,0.0,6.382608695652175,14.479166666666666,79.47916666666667,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T011,41.944869,-87.832763,81.75,10.0,69,72.0,418,1931,0.16,29.42,30.11,6.1,22,7.1,16.75,913.0,1,65.36,2007,6,26,55.27272727272727,62.0625,9.122727272727275,54.625625000000014,1.0,0.010000000000000111,7.465217391304351,4.791666666666667,69.79166666666667,8.843636363636364,9.93,11.166666666666668,3.52,6.711179039999999,-14.05324208,0,0,1
T016,42.011601,-87.81150600000002,72.25,-2.0,59,64.0,437,1919,0.14,29.11,29.83,8.9,23,9.8,7.25,882.0,1,63.1,2009,7,30,55.54545454545455,61.4375,7.75909090909091,61.42125000000001,0.16666666666666666,0.0,6.486956521739135,4.0625,69.0625,7.776363636363637,8.60125,9.668750000000001,3.22,5.8816241400000004,-12.293610840000005,0,1,0
T005,41.942114,-87.776385,78.0,7.0,70,72.0,505,1845,0.0,29.235,29.91,3.8,18,6.0,13.0,820.0,0,76.46,2007,8,34,64.04545454545455,69.875,6.463636363636365,72.998125,0.3333333333333333,2.7755575615628914e-17,4.456521739130437,13.833333333333334,78.83333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T011,41.944869,-87.832763,84.5,10.0,70,75.0,433,1923,0.58,29.135,29.83,13.3,25,14.0,19.5,890.0,1,61.88,2013,7,29,62.95454545454545,65.3125,8.245454545454542,67.36437499999985,0.6666666666666666,0.0,7.052173913043476,6.791666666666667,71.79166666666667,36.51363636363636,37.881249999999994,41.63916666666667,14.499999999999998,24.328024019999997,-50.943002539999995,0,1,0
T045,41.9216,-87.666455,81.75,10.0,69,72.0,418,1931,0.16,29.42,30.11,6.1,22,7.1,16.75,913.0,1,65.36,2007,6,26,55.27272727272727,62.0625,9.122727272727275,54.625625000000014,1.0,0.010000000000000111,7.465217391304351,4.791666666666667,69.79166666666667,8.843636363636364,9.93,11.166666666666668,3.52,6.707456,-14.0266328,1,0,0
T081,41.821582,-87.62779599999998,71.75,-2.0,59,64.0,456,1858,0.0,29.25,29.94,8.3,19,8.5,6.75,842.0,0,64.18,2011,8,32,66.68181818181819,72.125,6.95909090909091,68.32749999999992,0.5,0.749999999999998,4.800000000000002,15.8125,80.8125,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
T090,41.868077,-87.666901,67.25,-1.0,51,57.0,416,1928,0.0,29.37,30.05,6.6,6,7.9,2.25,912.0,0,55.96,2013,6,24,52.5,55.125,9.204545454545446,68.88249999999982,0.6666666666666666,0.00999999999999778,7.88695652173913,-3.6875,61.3125,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T159,41.732984,-87.649642,72.25,7.0,59,64.0,528,1809,0.0,29.31,29.98,7.0,35,9.4,7.25,761.0,1,63.1,2013,9,37,63.31818181818182,67.5,7.418181818181813,64.76062499999982,0.3333333333333333,0.009999999999997669,6.0695652173913,12.75,77.75,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T090,41.868077,-87.666901,73.5,0.0,64,67.0,425,1929,0.08,29.375,30.06,4.4,21,4.9,8.5,904.0,1,72.2,2009,7,28,59.59090909090909,66.29166666666667,7.313636363636363,61.91875000000002,0.5,0.04999999999999866,5.7086956521739145,12.458333333333334,77.45833333333333,4.7672727272727276,5.303333333333334,6.196666666666666,1.68,3.34944616,-7.01335208,0,1,0
T002,41.95469,-87.800991,77.0,3.0,68,71.0,432,1924,1.55,29.145,29.84,9.1,24,10.1,12.0,892.0,1,73.8,2007,7,29,58.5,64.875,8.595454545454546,57.40937500000002,0.6666666666666666,2.220446049250313e-16,6.8521739130434804,8.0,73.0,90.675,100.55625,113.15,37.2,65.0297695,-136.09153605,0,1,0
T100,41.717753,-87.531657,75.25,12.0,59,65.0,536,1755,0.0,29.44,30.11,5.0,26,9.7,10.25,739.0,0,57.05,2007,9,38,54.18181818181818,63.1875,8.090909090909092,58.656250000000036,0.3333333333333333,0.0,6.708695652173913,9.270833333333334,74.27083333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T094,41.720848,-87.666014,70.5,-4.0,54,61.0,444,1913,0.0,29.26,29.94,6.2,26,7.3,5.5,869.0,0,55.89,2009,7,31,56.18181818181818,61.5,7.227272727272728,61.31875,0.6666666666666666,0.0,5.817391304347831,4.458333333333333,69.45833333333333,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T145,41.878114,-87.629798,78.25,7.0,60,71.66666666666667,418,1931,0.0,29.29,29.85,6.4,4,8.2,13.25,913.0,0,53.53,2009,6,26,56.09090909090909,57.375,7.71363636363636,65.30500000000002,0.3333333333333333,0.009999999999998668,5.72608695652174,-4.3125,60.6875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T224,41.94722700000001,-87.67145699999998,67.25,-1.0,51,57.0,416,1928,0.0,29.37,30.05,6.6,6,7.9,2.25,912.0,0,55.96,2013,6,24,52.5,55.125,9.204545454545446,68.88249999999982,0.6666666666666666,0.00999999999999778,7.88695652173913,-3.6875,61.3125,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T135,41.662014,-87.72460799999998,69.25,-5.0,54,61.0,438,1918,0.0,29.36,30.05,4.1,23,5.1,4.25,880.0,0,58.33,2013,7,30,64.5,69.375,7.995454545454543,63.63499999999986,0.16666666666666666,0.05999999999999772,7.317391304347827,8.375,73.375,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T158,41.682587,-87.707973,72.75,2.0,67,69.0,506,1843,0.23,29.39,30.05,1.5,23,7.0,7.75,817.0,1,82.18,2013,8,34,58.90909090909091,63.85416666666666,7.122727272727267,63.62062499999983,0.5,0.0,5.430434782608694,6.645833333333333,71.64583333333333,13.549090909090909,14.686458333333333,16.478541666666665,5.29,9.58699501,-20.17283379,0,1,0
T114,41.798697,-87.736812,79.25,7.0,71,74.0,426,1928,0.39,29.15,29.82,5.5,25,8.5,14.25,902.0,0,75.93,2011,7,28,59.81818181818182,65.1875,8.48181818181818,55.07124999999992,0.5,0.0,7.000000000000003,6.125,71.125,23.32909090909091,25.423125000000002,27.73875,9.75,16.30149183,-34.21735668,0,0,1
T226,41.793818,-87.654234,55.0,-6.0,44,49.0,540,1748,0.0,29.355,30.06,5.9,36,7.0,-10.0,728.0,0,66.38,2011,9,38,53.13636363636363,59.25,8.18636363636364,67.1356249999999,0.3333333333333333,0.429999999999998,6.895652173913043,5.229166666666667,70.22916666666667,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T073,41.773215,-87.60088,62.25,-3.0,44,54.0,417,1923,0.0,29.205,29.91,5.8,26,6.7,-2.75,906.0,0,51.2,2009,6,23,44.90909090909091,53.1875,9.45,57.461250000000064,0.3333333333333333,0.0,7.430434782608697,-3.1666666666666665,61.833333333333336,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T232,41.912563,-87.66805500000002,78.75,5.0,60,66.0,429,1926,0.0,29.3,29.98,5.4,9,6.7,13.75,897.0,0,52.66,2011,7,28,59.0,64.25,8.304545454545453,56.63624999999992,0.6666666666666666,0.0,6.843478260869567,7.666666666666667,72.66666666666667,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T044,41.883284,-87.705085,67.25,-6.0,50,58.0,420,1931,0.0,29.52,30.22,5.9,14,8.1,2.25,911.0,0,53.92,2007,7,27,56.68181818181818,63.4375,9.154545454545458,60.98687500000001,0.16666666666666666,0.1500000000000001,7.317391304347829,10.041666666666666,75.04166666666667,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T209,41.740641,-87.546587,73.0,-1.0,63,66.0,433,1923,0.16,29.235,29.9,7.0,1,11.9,8.0,890.0,1,70.89,2007,7,29,58.45454545454545,64.0625,8.8,58.65187500000002,0.5,2.220446049250313e-16,7.060869565217394,8.041666666666666,73.04166666666667,9.352727272727273,10.25,11.686666666666667,0.16,6.678502559999999,-14.007453920000001,0,1,0
T048,41.867108,-87.654224,65.75,-2.0,54,59.0,519,1824,0.0,29.450000000000006,30.16,4.7,5,6.0,0.75,785.0,0,65.81,2009,9,36,56.68181818181818,63.6875,8.504545454545452,69.45812499999995,0.16666666666666666,0.01999999999999863,7.126086956521742,8.020833333333334,73.02083333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
T135,41.662014,-87.72460799999998,72.5,-1.0,56,62.0,452,1903,0.0,29.295,29.98,8.6,5,9.3,7.5,851.0,0,56.17,2013,8,32,60.90909090909091,65.0625,7.67727272727272,68.78124999999983,0.0,0.0,6.095652173913044,11.020833333333334,76.02083333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
T100,41.717753,-87.531657,80.5,8.0,62,69.0,445,1911,0.0,29.315,30.0,3.5,9,4.1,15.5,866.0,0,53.37,2007,8,31,58.68181818181818,63.25,8.113636363636363,62.69000000000001,0.3333333333333333,0.16999999999999993,6.052173913043479,8.479166666666666,73.47916666666667,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T148,42.01743,-87.68776899999997,63.75,-10.0,51,56.0,431,1925,0.0,29.18,29.87,10.6,30,10.8,-1.25,894.0,0,63.19,2009,7,29,56.27272727272727,62.79166666666667,6.818181818181818,61.33250000000003,0.3333333333333333,0.0,5.452173913043483,7.104166666666667,72.10416666666667,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T065,41.778297,-87.752411,77.0,8.0,60,66.0,520,1822,0.0,29.31,30.0,2.8,22,4.3,12.0,782.0,0,55.79,2007,9,36,61.72727272727273,66.8125,7.086363636363637,69.21000000000002,0.5,0.0,4.960869565217393,8.5,73.5,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T011,41.944869,-87.832763,80.5,8.0,62,69.0,445,1911,0.0,29.315,30.0,3.5,9,4.1,15.5,866.0,0,53.37,2007,8,31,58.68181818181818,63.25,8.113636363636363,62.69000000000001,0.3333333333333333,0.16999999999999993,6.052173913043479,8.479166666666666,73.47916666666667,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T102,41.750498,-87.605294,78.75,5.0,60,66.0,429,1926,0.0,29.3,29.98,5.4,9,6.7,13.75,897.0,0,52.66,2011,7,28,59.0,64.25,8.304545454545453,56.63624999999992,0.6666666666666666,0.0,6.843478260869567,7.666666666666667,72.66666666666667,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T054,41.921965,-87.632085,51.5,-8.0,41,47.0,547,1735,0.09,29.345,30.01,14.6,34,15.0,-13.5,708.0,1,67.25,2011,9,39,51.13636363636363,55.875,8.304545454545456,72.91187499999991,0.3333333333333333,0.07999999999999796,6.999999999999999,-2.4166666666666665,62.583333333333336,4.602272727272727,5.02875,5.6325,3.06,3.77297685,-7.88688765,0,0,1
T025,41.979243,-87.750938,76.25,12.0,58,65.0,535,1756,0.0,29.375,30.06,12.9,19,13.1,11.25,741.0,0,53.24,2007,9,38,54.27272727272727,64.125,8.013636363636364,58.87750000000003,0.5,0.0,6.413043478260869,8.645833333333334,73.64583333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
T003,41.964242,-87.757639,71.0,-2.0,57,62.0,445,1911,0.0,29.26,29.95,7.6,30,7.8,6.0,866.0,0,61.27,2013,8,31,61.54545454545455,68.5625,7.65454545454545,66.86312499999985,0.16666666666666666,0.0,6.382608695652175,14.479166666666666,79.47916666666667,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
T073,41.773215,-87.60088,76.75,14.0,68,70.0,536,1755,0.84,29.175,29.87,8.3,16,10.6,11.75,739.0,1,74.42,2013,9,38,59.27272727272727,67.4375,8.39545454545454,62.786249999999804,0.0,0.0,7.073913043478257,10.041666666666666,75.04166666666667,49.78909090909091,56.6475,63.035000000000004,13.44,35.0895006,-73.5847392,0,1,0
T016,42.011601,-87.81150600000002,78.0,7.0,70,72.0,505,1845,0.0,29.235,29.91,3.8,18,6.0,13.0,820.0,0,76.46,2007,8,34,64.04545454545455,69.875,6.463636363636365,72.998125,0.3333333333333333,2.7755575615628914e-17,4.456521739130437,13.833333333333334,78.83333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
