,Trap,Latitude,Longitude,WnvPresent,Tavg,Depart,DewPoint,WetBulb,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Heat/Cool,SunHours,isRainy,Humidity,Year,Month,Week,DewPoint_Roll22Lag1,WetBulb_Roll16Lag7,AvgSpeed_Roll22Lag5,Humidity_Roll16Lag1,isRainy_Roll6Lag21,PrecipTotal_Roll1Lag5,ResultSpeed_Roll23Lag5,AvgSpeed_Roll22Lag5,Heat/Cool_Roll12Lag12,Tavg_Roll12Lag12,Precip_X_DewPointRL,Precip_X_WetBulbRL,Precip_X_TavgRL,Precip_X_ResultDir,Precip_X_Latitude,Precip_X_Longitude,Species_1.0,Species_2.0,Species_3.0
10,T228,41.951866,-87.72505699999998,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
11,T080,41.754676,-87.612922,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
12,T030,41.89923,-87.716788,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
13,T224,41.94722700000001,-87.67145699999998,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
14,T066,41.77166,-87.703047,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
15,T033,41.906638,-87.701431,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
16,T054,41.921965,-87.632085,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
17,T223,41.973845,-87.805059,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
18,T073,41.773215,-87.60088,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
19,T048,41.867108,-87.654224,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
20,T083,41.754292,-87.590773,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
21,T226,41.793818,-87.654234,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
22,T002,41.95469,-87.800991,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
23,T017,41.960616,-87.777189,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
24,T061,41.801179,-87.679447,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
25,T049,41.896282,-87.655232,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
26,T235,41.776428,-87.627096,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
27,T231,41.98728,-87.666066,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
28,T145,41.878114,-87.629798,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
29,T159,41.732984,-87.649642,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
30,T900,41.974689,-87.890615,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
31,T082,41.803423,-87.642984,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
32,T102,41.750498,-87.605294,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
33,T035,41.763733,-87.742302,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
34,T061,41.801179,-87.679447,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
35,T062,41.800737,-87.71188000000002,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
36,T225,41.743402,-87.731435,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
37,T233,42.009876,-87.807277,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
38,T228,41.951866,-87.72505699999998,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
39,T233,42.009876,-87.807277,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
40,T152,41.846075,-87.716277,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
41,T054,41.921965,-87.632085,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
42,T027,41.98480900000001,-87.728492,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
43,T135,41.662014,-87.72460799999998,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
44,T031,41.801498,-87.763416,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
45,T047,41.868142,-87.696269,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
46,T128,41.704572,-87.56566600000002,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
47,T228,41.951866,-87.72505699999998,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
48,T094,41.720848,-87.666014,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
49,T077,41.778748,-87.586427,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
50,T114,41.798697,-87.736812,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
51,T224,41.94722700000001,-87.67145699999998,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
52,T094,41.720848,-87.666014,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
53,T080,41.754676,-87.612922,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
54,T069,41.768388,-87.678649,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
55,T209,41.740641,-87.546587,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
56,T232,41.912563,-87.66805500000002,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
57,T102,41.750498,-87.605294,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
58,T151,41.916265,-87.800515,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
59,T003,41.964242,-87.757639,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
60,T232,41.912563,-87.66805500000002,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
61,T080,41.754676,-87.612922,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
62,T054,41.921965,-87.632085,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
63,T128,41.704572,-87.56566600000002,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
64,T033,41.906638,-87.701431,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
65,T017,41.960616,-87.777189,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
66,T226,41.793818,-87.654234,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
67,T065,41.778297,-87.752411,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
68,T047,41.868142,-87.696269,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
69,T115,41.673408,-87.599862,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
70,T102,41.750498,-87.605294,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
